[18:34:52 PM]	=============== Start Trace ===============
[19:15:22 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8128_sec.hho)
[19:15:23 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8129_sec.objt)
[19:15:23 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8129_sec.eff)
[19:15:23 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8129_sec.ocq)
[19:15:23 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8129_sec.hho)
[19:15:23 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8002_sec.objt)
[19:15:23 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8002_sec.eff)
[19:15:24 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8002_sec.ocq)
[19:15:24 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8002_sec.hho)
[19:15:25 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8003_sec.objt)
[19:15:25 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8003_sec.eff)
[19:15:25 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8003_sec.ocq)
[19:15:25 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8003_sec.hho)
[19:15:25 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8130_sec.objt)
[19:15:25 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8130_sec.eff)
[19:15:25 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8130_sec.ocq)
[19:15:25 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8130_sec.hho)
[19:15:25 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8131_sec.objt)
[19:15:25 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8131_sec.eff)
[19:15:25 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8131_sec.ocq)
[19:15:25 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8131_sec.hho)
[19:15:25 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8004_sec.objt)
[19:15:25 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8004_sec.eff)
[19:15:25 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8004_sec.ocq)
[19:15:25 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8004_sec.hho)
[19:15:26 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8005_sec.objt)
[19:15:26 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8005_sec.eff)
[19:15:26 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8005_sec.ocq)
[19:15:27 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8005_sec.hho)
[19:15:27 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8132_sec.objt)
[19:15:27 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8132_sec.eff)
[19:15:27 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8132_sec.ocq)
[19:15:27 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8132_sec.hho)
[19:15:27 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8133_sec.objt)
[19:15:27 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8133_sec.eff)
[19:15:27 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8133_sec.ocq)
[19:15:27 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8133_sec.hho)
[19:15:27 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8250_sec.objt)
[19:15:27 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8250_sec.eff)
